,papers,doi_papers,explicit_authorships,authorships,solo_authorships,max_authors,verif_authorships,orcid_authorships,orcid_suffix_authorships,uauthors,verif_uauthors,orcid_uauthors,orcid_suffix_uauthors,degree_uauthors,evts,big_evts,vols,doi_vols,pctdoi_papers,pctdoi_vols
1975,115.0,0.0,40.0,123.0,74.0,7.0,40.0,,,114,36.0,,,,2.0,,6.0,0.0,0.0,0.0
1976,70.0,0.0,13.0,55.0,44.0,3.0,13.0,,,48,9.0,,,,2.0,,5.0,0.0,0.0,0.0
1977,37.0,0.0,8.0,35.0,12.0,4.0,8.0,,,35,8.0,,,,3.0,,5.0,0.0,0.0,0.0
1978,111.0,0.0,48.0,111.0,78.0,3.0,48.0,,,66,26.0,,,,3.0,,6.0,0.0,0.0,0.0
1979,50.0,28.0,16.0,57.0,41.0,3.0,16.0,,,54,14.0,,,,3.0,,2.0,0.0,0.56,0.0
1980,184.0,44.0,72.0,246.0,101.0,5.0,72.0,2.0,,234,66.0,2.0,,,4.0,,6.0,0.0,0.2391304347826087,0.0
1981,133.0,36.0,39.0,116.0,88.0,2.0,40.0,2.0,,108,35.0,2.0,,,5.0,,7.0,0.0,0.2706766917293233,0.0
1982,258.0,39.0,118.0,344.0,154.0,8.0,119.0,4.0,,317,102.0,4.0,,,4.0,1.0,7.0,0.0,0.1511627906976744,0.0
1983,153.0,58.0,93.0,210.0,80.0,11.0,94.0,8.0,,192,81.0,7.0,,,6.0,,7.0,0.0,0.3790849673202614,0.0
1984,231.0,116.0,114.0,292.0,142.0,5.0,116.0,8.0,,248,84.0,7.0,,,6.0,2.0,7.0,0.0,0.5021645021645021,0.0
1985,170.0,40.0,92.0,231.0,88.0,8.0,96.0,9.0,,194,72.0,7.0,,,6.0,,7.0,0.0,0.23529411764705882,0.0
1986,322.0,41.0,219.0,493.0,166.0,10.0,222.0,21.0,,400,156.0,17.0,,,6.0,1.0,9.0,0.0,0.12732919254658384,0.0
1987,240.0,34.0,142.0,326.0,156.0,6.0,143.0,16.0,,275,109.0,12.0,,,7.0,,7.0,0.0,0.14166666666666666,0.0
1988,387.0,69.0,249.0,622.0,197.0,7.0,259.0,30.0,,506,183.0,23.0,,,8.0,1.0,12.0,0.0,0.17829457364341086,0.0
1989,389.0,34.0,365.0,642.0,210.0,11.0,370.0,36.0,,450,207.0,18.0,,,9.0,1.0,12.0,0.0,0.08740359897172237,0.0
1990,515.0,39.0,446.0,874.0,260.0,10.0,468.0,60.0,,642,285.0,38.0,,,10.0,2.0,14.0,0.0,0.07572815533980583,0.0
1991,435.0,56.0,418.0,835.0,207.0,15.0,434.0,45.0,,597,254.0,31.0,,,10.0,1.0,15.0,0.0,0.12873563218390804,0.0
1992,624.0,101.0,613.0,1284.0,260.0,12.0,646.0,82.0,,878,359.0,52.0,,,10.0,2.0,16.0,0.0,0.16185897435897437,0.0
1993,552.0,70.0,543.0,1096.0,268.0,14.0,573.0,83.0,,755,334.0,47.0,,,14.0,2.0,19.0,0.0,0.12681159420289856,0.0
1994,712.0,100.0,572.0,1420.0,320.0,12.0,613.0,110.0,,1040,372.0,65.0,,,15.0,2.0,20.0,0.0,0.1404494382022472,0.0
1995,386.0,93.0,218.0,629.0,198.0,10.0,251.0,59.0,,539,207.0,46.0,,,13.0,,16.0,0.0,0.24093264248704663,0.0
1996,619.0,204.0,409.0,1121.0,287.0,14.0,464.0,110.0,,862,316.0,65.0,,,14.0,1.0,19.0,2.0,0.3295638126009693,0.10526315789473684
1997,668.0,150.0,506.0,1310.0,252.0,10.0,570.0,138.0,,977,359.0,78.0,,,16.0,1.0,36.0,0.0,0.2245508982035928,0.0
1998,1099.0,319.0,836.0,2237.0,395.0,9.0,978.0,250.0,,1232,455.0,103.0,,,22.0,3.0,37.0,0.0,0.2902638762511374,0.0
1999,543.0,119.0,355.0,1059.0,209.0,18.0,416.0,92.0,,848,321.0,68.0,,,14.0,1.0,24.0,0.0,0.21915285451197053,0.0
