anthology_id	presentation_id
2020.acl-main.29	38929073
2020.acl-main.336	38929011
2020.acl-main.322	38929005
2020.acl-main.444	38928692
2020.acl-main.15	38929314
2020.acl-main.478	38928770
2020.acl-main.493	38929418
2020.acl-main.487	38929358
2020.acl-main.134	38928825
2020.acl-main.652	38929118
2020.acl-main.646	38929441
2020.acl-main.120	38929109
2020.acl-main.108	38928790
2020.acl-main.691	38928765
2020.acl-main.685	38929310
2020.acl-main.726	38928956
2020.acl-main.732	38929167
2020.acl-main.524	38929285
2020.acl-main.242	38929102
2020.acl-main.256	38928977
2020.acl-main.530	38928844
2020.acl-main.518	38928971
2020.acl-main.281	38929207
2020.acl-main.295	38928702
2020.acl-main.294	38929365
2020.acl-main.280	38928782
2020.acl-main.519	38928689
2020.acl-main.257	38928982
2020.acl-main.531	38929072
2020.acl-main.525	38929230
2020.acl-main.243	38929245
2020.acl-main.733	38928759
2020.acl-main.727	38929240
2020.acl-main.684	38929361
2020.acl-main.690	38928755
2020.acl-main.109	38928779
2020.acl-main.647	38929453
2020.acl-main.121	38928726
2020.acl-main.135	38929018
2020.acl-main.653	38928716
2020.acl-main.486	38928840
2020.acl-main.492	38929233
2020.acl-main.479	38928842
2020.acl-main.14	38928869
2020.acl-main.323	38929013
2020.acl-main.445	38928688
2020.acl-main.451	38929202
2020.acl-main.337	38928833
2020.acl-main.28	38928768
2020.acl-main.73	38928818
2020.acl-main.67	38929027
2020.acl-main.378	38928795
2020.acl-main.436	38929250
2020.acl-main.350	38929241
2020.acl-main.344	38928753
2020.acl-main.422	38928932
2020.acl-main.1	38929437
2020.acl-main.393	38928936
2020.acl-main.387	38929301
2020.acl-main.98	38929296
2020.acl-main.608	38929390
2020.acl-main.152	38929223
2020.acl-main.634	38929350
2020.acl-main.620	38928807
2020.acl-main.146	38929138
2020.acl-main.191	38928799
2020.acl-main.185	38928691
2020.acl-main.768	38929367
2020.acl-main.740	38929123
2020.acl-main.754	38928991
2020.acl-main.218	38928948
2020.acl-main.542	38929322
2020.acl-main.224	38929169
2020.acl-main.230	38928686
2020.acl-main.556	38929014
2020.acl-main.581	38929366
2020.acl-main.595	38928996
2020.acl-main.594	38928893
2020.acl-main.580	38929320
2020.acl-main.231	38929315
2020.acl-main.557	38929445
2020.acl-main.543	38928821
2020.acl-main.225	38929175
2020.acl-main.219	38928905
2020.acl-main.755	38929225
2020.acl-main.741	38929249
2020.acl-main.769	38929068
2020.acl-main.184	38928828
2020.acl-main.190	38928962
2020.acl-main.621	38928788
2020.acl-main.147	38929162
2020.acl-main.153	38928754
2020.acl-main.635	38928880
2020.acl-main.609	38929443
2020.acl-main.99	38929387
2020.acl-main.386	38929099
2020.acl-main.392	38928712
2020.acl-main.345	38929438
2020.acl-main.423	38929368
2020.acl-main.437	38929414
2020.acl-main.351	38929299
2020.acl-main.379	38929031
2020.acl-main.66	38929231
2020.acl-main.72	38928823
2020.acl-main.64	38928829
2020.acl-main.70	38928978
2020.acl-main.409	38929220
2020.acl-main.421	38929158
2020.acl-main.2	38928967
2020.acl-main.58	38928871
2020.acl-main.347	38929295
2020.acl-main.353	38928719
2020.acl-main.435	38929110
2020.acl-main.384	38929145
2020.acl-main.390	38928998
2020.acl-main.179	38929008
2020.acl-main.145	38929029
2020.acl-main.623	38929128
2020.acl-main.637	38928877
2020.acl-main.151	38929444
2020.acl-main.186	38928834
2020.acl-main.192	38928920
2020.acl-main.757	38928846
2020.acl-main.743	38929211
2020.acl-main.569	38928746
2020.acl-main.555	38929010
2020.acl-main.233	38929078
2020.acl-main.227	38928708
2020.acl-main.541	38929291
2020.acl-main.596	38929259
2020.acl-main.582	38928949
2020.acl-main.583	38929201
2020.acl-main.597	38929092
2020.acl-main.226	38929392
2020.acl-main.540	38928950
2020.acl-main.554	38928847
2020.acl-main.232	38929058
2020.acl-main.568	38929430
2020.acl-main.742	38929266
2020.acl-main.756	38928720
2020.acl-main.193	38928969
2020.acl-main.187	38928802
2020.acl-main.636	38929369
2020.acl-main.150	38929351
2020.acl-main.144	38929113
2020.acl-main.622	38928701
2020.acl-main.178	38929213
2020.acl-main.391	38929265
2020.acl-main.385	38928943
2020.acl-main.352	38929198
2020.acl-main.434	38929325
2020.acl-main.3	38928771
2020.acl-main.420	38928922
2020.acl-main.346	38929215
2020.acl-main.59	38928928
2020.acl-main.71	38928915
2020.acl-main.408	38928900
2020.acl-main.65	38928989
2020.acl-main.342	38928888
2020.acl-main.424	38929012
2020.acl-main.7	38928775
2020.acl-main.430	38929378
2020.acl-main.49	38929242
2020.acl-main.356	38929155
2020.acl-main.61	38929327
2020.acl-main.418	38929030
2020.acl-main.75	38928896
2020.acl-main.381	38928815
2020.acl-main.395	38928791
2020.acl-main.626	38929025
2020.acl-main.140	38929091
2020.acl-main.154	38929070
2020.acl-main.632	38929405
2020.acl-main.168	38929204
2020.acl-main.183	38929292
2020.acl-main.197	38928798
2020.acl-main.752	38929157
2020.acl-main.746	38929022
2020.acl-main.236	38929148
2020.acl-main.550	38928700
2020.acl-main.544	38928852
2020.acl-main.222	38928890
2020.acl-main.578	38929380
2020.acl-main.593	38929251
2020.acl-main.587	38929434
2020.acl-main.586	38929224
2020.acl-main.592	38928944
2020.acl-main.579	38929354
2020.acl-main.545	38928935
2020.acl-main.223	38929130
2020.acl-main.237	38929271
2020.acl-main.551	38928858
2020.acl-main.747	38928776
2020.acl-main.753	38929049
2020.acl-main.196	38929173
2020.acl-main.182	38929205
2020.acl-main.169	38929267
2020.acl-main.155	38929416
2020.acl-main.633	38928964
2020.acl-main.627	38929023
2020.acl-main.141	38929374
2020.acl-main.394	38929125
2020.acl-main.380	38928723
2020.acl-main.74	38928954
2020.acl-main.60	38928976
2020.acl-main.419	38929024
2020.acl-main.431	38929398
2020.acl-main.357	38929054
2020.acl-main.48	38928882
2020.acl-main.343	38928933
2020.acl-main.6	38929055
2020.acl-main.425	38929120
2020.acl-main.355	38929197
2020.acl-main.433	38929275
2020.acl-main.427	38929264
2020.acl-main.4	38928816
2020.acl-main.341	38928884
2020.acl-main.76	38928923
2020.acl-main.369	38929342
2020.acl-main.62	38929372
2020.acl-main.396	38929415
2020.acl-main.89	38929021
2020.acl-main.382	38928826
2020.acl-main.631	38928808
2020.acl-main.157	38929075
2020.acl-main.143	38929017
2020.acl-main.625	38928907
2020.acl-main.619	38929196
2020.acl-main.194	38929239
2020.acl-main.180	38929286
2020.acl-main.745	38929345
2020.acl-main.751	38929154
2020.acl-main.221	38928926
2020.acl-main.547	38929442
2020.acl-main.553	38929003
2020.acl-main.235	38928824
2020.acl-main.209	38929433
2020.acl-main.584	38929097
2020.acl-main.590	38928966
2020.acl-main.591	38929039
2020.acl-main.585	38929045
2020.acl-main.208	38929435
2020.acl-main.552	38929382
2020.acl-main.234	38929126
2020.acl-main.220	38928843
2020.acl-main.546	38928724
2020.acl-main.778	38929016
2020.acl-main.750	38929187
2020.acl-main.744	38929153
2020.acl-main.181	38929156
2020.acl-main.195	38928769
2020.acl-main.618	38929124
2020.acl-main.142	38928889
2020.acl-main.624	38929059
2020.acl-main.630	38928734
2020.acl-main.156	38929074
2020.acl-main.383	38929032
2020.acl-main.88	38928988
2020.acl-main.397	38929103
2020.acl-main.63	38929439
2020.acl-main.368	38928737
2020.acl-main.77	38929388
2020.acl-main.5	38929321
2020.acl-main.426	38929370
2020.acl-main.340	38928854
2020.acl-main.354	38929180
2020.acl-main.432	38929279
